generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
227,128655.000000,71347.000000,28,24884.264852,239495362.580323,20.228460,2.311809,4,1,4,150
228,116124.000000,83878.000000,27,23092.198847,265822796.661935,24.056858,1.687769,4,1,4,129
229,125718.000000,74284.000000,23,16713.937105,276847848.895365,25.569252,1.198494,4,1,4,117
230,110764.000000,89238.000000,13,15586.155885,173356962.043443,29.368280,1.074619,4,1,4,122
231,115669.000000,84333.000000,17,13569.231295,158857236.989561,29.048579,1.012951,4,1,4,117
232,115994.000000,84008.000000,10,25817.205093,302151029.533104,19.848241,2.113797,5,2,4,161
233,119916.000000,80086.000000,15,27400.787575,402864984.572450,19.053823,2.414712,5,2,4,162
234,123560.000000,76442.000000,23,22122.254970,260659196.923838,19.392628,2.259585,5,2,4,151
235,110036.000000,89966.000000,10,23555.356577,347560763.189564,20.970766,1.876513,5,2,4,164
236,111125.000000,88877.000000,15,26243.839976,265996499.683319,17.928472,2.866006,5,2,4,185
237,129809.000000,70193.000000,31,25432.384066,312736274.403986,17.875810,2.876817,5,2,4,172
238,132376.000000,67626.000000,32,27248.410048,344087006.805825,17.614675,3.029221,5,2,4,159
239,103707.000000,96295.000000,12,19594.266320,223891451.445732,18.850736,2.606384,5,2,4,159
240,152549.000000,47453.000000,52,28441.244686,314475845.939362,17.324676,3.095605,5,2,4,86
241,132780.000000,67222.000000,30,28104.389777,371977065.730769,17.324582,3.123450,5,2,4,120
242,127945.000000,72057.000000,36,28281.439692,379305330.130212,17.161386,3.220714,5,2,4,119
243,150365.000000,49637.000000,51,29547.618391,375248849.961337,17.358437,3.139372,5,2,4,107
244,130532.000000,69470.000000,41,28119.721333,291382609.562067,17.812990,3.255624,5,2,4,105
245,145097.000000,54905.000000,48,27751.520922,387720069.162327,17.326505,3.328307,5,2,4,108
246,141062.000000,58940.000000,39,28482.322400,245203955.577014,17.041562,3.397862,5,2,4,110
247,134083.000000,65919.000000,31,25101.001513,324587419.050522,18.532442,2.556834,5,2,4,123
248,130085.000000,69917.000000,34,28844.961070,370219129.566236,19.750073,2.267567,5,2,4,118
249,125833.000000,74169.000000,37,28936.768463,340032602.228684,18.579677,2.755041,5,2,4,106
250,150966.000000,49036.000000,55,33725.415497,400968464.575783,17.776524,2.884715,5,2,4,98
251,155760.000000,44242.000000,56,31985.064558,435585239.410883,17.470807,3.026027,5,2,4,111
252,119531.000000,80471.000000,32,23643.197146,358885138.563193,16.590619,3.963067,7,2,4,125
253,142830.000000,57172.000000,42,29766.786418,369036070.079588,17.383614,3.246545,7,2,4,121
254,140720.000000,59282.000000,49,28130.238145,413063911.516656,18.382569,2.752990,7,2,4,114
255,144348.000000,55654.000000,50,30912.608815,404766047.065950,18.576164,2.834913,7,2,4,107
256,153425.000000,46577.000000,56,30349.817060,312032781.172873,17.023157,3.275581,7,2,4,112
257,120189.000000,79813.000000,24,24860.356275,339146462.689048,18.445004,2.810563,7,2,4,140
258,153215.000000,46787.000000,50,32684.153031,401125415.542813,18.256598,2.549878,7,2,4,103
259,149259.000000,50743.000000,52,29161.537073,419413829.739357,18.084081,2.655347,7,2,4,95
260,147484.000000,52518.000000,55,30152.829051,453883303.099865,19.935833,2.227837,7,2,4,93
261,125865.000000,74137.000000,39,30119.819145,286232240.171688,19.810235,2.154436,7,2,4,107
262,153212.000000,46790.000000,58,36262.063933,475248555.890929,18.548350,2.838925,7,2,4,94
263,138751.000000,61251.000000,42,24510.168686,362344250.147222,21.591597,1.984518,7,2,4,112
264,137182.000000,62820.000000,45,26702.352483,395738905.871812,19.694773,2.709148,7,2,4,92
265,126054.000000,73948.000000,37,22676.662545,380910736.514983,21.507145,1.838840,7,2,4,100
266,129370.000000,70632.000000,30,2547.438807,3929973.694831,32.963950,0.596056,6,2,4,96
267,125265.000000,74737.000000,29,7895.690287,45597315.312116,30.691489,0.836722,6,2,4,104
268,133746.000000,66256.000000,35,5641.200702,23398101.400106,29.244494,0.841297,6,2,4,94
269,114311.000000,85691.000000,23,5478.199018,17336271.787540,33.375794,0.723584,6,2,4,113
270,133864.000000,66138.000000,35,5003.004428,28211279.340610,29.544000,0.765395,6,2,4,97
271,130448.000000,69554.000000,38,4912.904602,15608322.284448,29.207870,0.785301,6,2,4,90
272,116592.000000,83410.000000,22,12310.298938,171909186.309275,31.329589,0.677730,6,2,4,108
273,131069.000000,68933.000000,31,9548.498141,72265603.278889,29.030227,0.845440,6,2,4,103
274,127427.000000,72575.000000,30,9267.309204,41420161.276979,28.569095,0.907603,6,2,4,106
275,131382.000000,68620.000000,33,7200.862266,36480391.180653,30.780159,0.701069,6,2,4,95
